"Pop","Date","Time","Plant_ID","Loc","Year","L_area","L_weight","Trichomes","Conc","herb_p","Leaves","fl_m","fl_h","Height","SLA"
"CAH",2022-06-21,"2022","Plant-9-CAH","Field","2022",1.775,0.0211,160,0.277403612793955,0.06,NA,NA,NA,38,84.1232227488152
"CAH",2022-06-21,"2022","Plant-11-CAH","Field","2022",2.628,0.0344,237,0.301912946883838,0.02,NA,NA,NA,40,76.3953488372093
"CAH",2022-06-21,"2022","Plant-12-CAH","Field","2022",2.706,0.0339,222,0.206386664516935,0.08,NA,NA,NA,30,79.8230088495575
"CAH",2022-06-21,"2022","Plant-14-CAH","Field","2022",2.71,0.0241,114,0.175993213183645,0.07,NA,NA,NA,44,112.448132780083
"ECO",2022-06-22,"2022","Eco1","Field","2022",0.868,0.0076,44,0.203744886025967,0,NA,NA,NA,32,114.210526315789
"ECO",2022-06-22,"2022","Eco2","Field","2022",0.925,0.0072,64,0.392868101122314,0.05,NA,NA,NA,28,128.472222222222
"ECO",2022-06-22,"2022","Eco3","Field","2022",0.939,0.005,36,0.257679518793463,0.02,NA,NA,NA,37,187.8
"ECO",2022-06-22,"2022","Eco4","Field","2022",1.086,0.0093,24,0.289495929315577,0.04,NA,NA,NA,34,116.774193548387
"ECO",2022-06-22,"2022","Eco5","Field","2022",0.487,0.0045,204,0.265639712292611,0.06,NA,NA,NA,31,108.222222222222
"ECO",2022-06-22,"2022","Eco6","Field","2022",0.7,0.0072,56,0.344764923901241,0.01,NA,NA,NA,28,97.2222222222222
"FLAT",2022-06-23,"2022","Flat1","Field","2022",5.059,0.0437,115,0.383890877920403,0.1,NA,NA,NA,41,115.766590389016
"FLAT",2022-06-23,"2022","Flat2","Field","2022",2.92,0.0356,148,0.764951559607776,0.05,NA,NA,NA,33,82.0224719101124
"FLAT",2022-06-23,"2022","Flat3","Field","2022",2.541,0.0161,95,0.265848619619659,0.02,NA,NA,NA,37,157.826086956522
"FLAT",2022-06-23,"2022","Flat4","Field","2022",4.036,0.0378,72,0.448755066589461,0.08,NA,NA,NA,31,106.772486772487
"FLAT",2022-06-23,"2022","Flat5","Field","2022",4.088,0.0358,113,0.374293628904943,0.02,NA,NA,NA,39,114.189944134078
"FLAT",2022-06-23,"2022","Flat6","Field","2022",3.006,0.0283,101,0.0422224616112745,0.15,NA,NA,NA,31,106.219081272085
"ICH",2022-06-22,"2022","Ich1","Field","2022",3.065,0.0223,178,0.810024089899089,0.03,NA,NA,NA,31,137.443946188341
"ICH",2022-06-22,"2022","Ich2","Field","2022",1.771,0.0121,70,0.811029467738896,0.06,NA,NA,NA,26,146.363636363636
