"Pop","Date","Plant_ID","Loc","Time","Year","L_area","L_weight","Trichomes","Conc","herb_p","fl_m","fl_h","Leaves","Height","SLA"
"CAH",2023-07-03,"CAH-5C","Garden","Mid","2023",1.14725,0.006,56,0.266701329030331,0.06,NA,NA,NA,NA,191.208333333333
"CAH",2023-07-10,"CAH-5C","Garden","Mid","2023",1.14725,0.006,56,0.266701329030331,0.01,NA,NA,NA,NA,191.208333333333
"CAH",2023-07-17,"CAH-5C","Garden","Late","2023",1.14725,0.006,56,0.266701329030331,0.02,NA,NA,34,23,191.208333333333
"CAH",2023-07-28,"CAH-5C","Garden","Late","2023",1.14725,0.006,56,0.266701329030331,0.03,NA,NA,NA,NA,191.208333333333
"CAH",2023-08-03,"CAH-5C","Garden","Late","2023",1.14725,0.006,56,0.266701329030331,0.03,NA,NA,22,26,191.208333333333
"CAH",2023-08-07,"CAH-5C","Garden","Late","2023",1.14725,0.006,56,0.266701329030331,0.1,NA,NA,NA,NA,191.208333333333
"CAH",2023-08-15,"CAH-5C","Garden","Late","2023",1.14725,0.006,56,0.266701329030331,0.25,NA,NA,NA,NA,191.208333333333
"CAH",2023-05-31,"CAH-8A","Garden","Early","2023",0.997,0.00595,100.25,0.0803196491230874,0.04,NA,NA,26,22,167.563025210084
"CAH",2023-06-05,"CAH-8A","Garden","Early","2023",0.997,0.00595,100.25,0.0803196491230874,0.04,NA,NA,NA,NA,167.563025210084
"CAH",2023-06-12,"CAH-8A","Garden","Early","2023",0.997,0.00595,100.25,0.0803196491230874,0.06,NA,NA,28,20,167.563025210084
"CAH",2023-06-20,"CAH-8A","Garden","Mid","2023",0.997,0.00595,100.25,0.0803196491230874,0.15,0,0,NA,NA,167.563025210084
"CAH",2023-06-29,"CAH-8A","Garden","Mid","2023",0.997,0.00595,100.25,0.0803196491230874,0.05,NA,NA,32,23,167.563025210084
"CAH",2023-07-03,"CAH-8A","Garden","Mid","2023",0.997,0.00595,100.25,0.0803196491230874,0.05,NA,NA,NA,NA,167.563025210084
"CAH",2023-07-10,"CAH-8A","Garden","Mid","2023",0.997,0.00595,100.25,0.0803196491230874,0.05,NA,NA,NA,NA,167.563025210084
"CAH",2023-07-17,"CAH-8A","Garden","Late","2023",0.997,0.00595,100.25,0.0803196491230874,0.07,NA,NA,27,23,167.563025210084
"CAH",2023-07-28,"CAH-8A","Garden","Late","2023",0.997,0.00595,100.25,0.0803196491230874,0.02,NA,NA,NA,NA,167.563025210084
"CAH",2023-08-03,"CAH-8A","Garden","Late","2023",0.997,0.00595,100.25,0.0803196491230874,0.05,NA,NA,32,21,167.563025210084
"CAH",2023-08-07,"CAH-8A","Garden","Late","2023",0.997,0.00595,100.25,0.0803196491230874,0.07,NA,NA,NA,NA,167.563025210084
"CAH",2023-08-15,"CAH-8A","Garden","Late","2023",0.997,0.00595,100.25,0.0803196491230874,0.15,NA,NA,NA,NA,167.563025210084
"CAH",2023-06-05,"CAH-8C","Garden","Early","2023",0.60575,0.004875,65.75,0.049683255577882,0.05,NA,NA,NA,NA,124.25641025641
"CAH",2023-06-12,"CAH-8C","Garden","Early","2023",0.60575,0.004875,65.75,0.049683255577882,0.6,NA,NA,20,18,124.25641025641
"CAH",2023-06-20,"CAH-8C","Garden","Mid","2023",0.60575,0.004875,65.75,0.049683255577882,0.35,0,0,NA,NA,124.25641025641
"CAH",2023-06-29,"CAH-8C","Garden","Mid","2023",0.60575,0.004875,65.75,0.049683255577882,0.35,NA,NA,49,16,124.25641025641
"CAH",2023-07-03,"CAH-8C","Garden","Mid","2023",0.60575,0.004875,65.75,0.049683255577882,0.15,NA,NA,NA,NA,124.25641025641
"CAH",2023-07-10,"CAH-8C","Garden","Mid","2023",0.60575,0.004875,65.75,0.049683255577882,0.02,NA,NA,NA,NA,124.25641025641
"CAH",2023-07-17,"CAH-8C","Garden","Late","2023",0.60575,0.004875,65.75,0.049683255577882,0.3,NA,NA,48,17,124.25641025641
"CAH",2023-07-28,"CAH-8C","Garden","Late","2023",0.60575,0.004875,65.75,0.049683255577882,0.25,NA,NA,NA,NA,124.25641025641
"CAH",2023-08-03,"CAH-8C","Garden","Late","2023",0.60575,0.004875,65.75,0.049683255577882,0.01,NA,NA,37,18,124.25641025641
"CAH",2023-08-07,"CAH-8C","Garden","Late","2023",0.60575,0.004875,65.75,0.049683255577882,0.03,NA,NA,NA,NA,124.25641025641
"CAH",2023-08-15,"CAH-8C","Garden","Late","2023",0.60575,0.004875,65.75,0.049683255577882,0.06,NA,NA,NA,NA,124.25641025641
"CAH",2023-06-05,"CAH-8E","Garden","Early","2023",0.675,0.00455,71.25,0.0745420888713643,0.02,NA,NA,NA,NA,148.351648351648
"CAH",2023-06-12,"CAH-8E","Garden","Early","2023",0.675,0.00455,71.25,0.0745420888713643,0.1,NA,NA,29,18,148.351648351648
"CAH",2023-06-20,"CAH-8E","Garden","Mid","2023",0.675,0.00455,71.25,0.0745420888713643,0.3,0,0,NA,NA,148.351648351648
"CAH",2023-06-29,"CAH-8E","Garden","Mid","2023",0.675,0.00455,71.25,0.0745420888713643,0.05,NA,NA,33,23,148.351648351648
"CAH",2023-07-03,"CAH-8E","Garden","Mid","2023",0.675,0.00455,71.25,0.0745420888713643,0.08,NA,NA,NA,NA,148.351648351648
"CAH",2023-07-10,"CAH-8E","Garden","Mid","2023",0.675,0.00455,71.25,0.0745420888713643,0.25,NA,NA,NA,NA,148.351648351648
