Plant_ID,Pop,Date,Height,Leaves,Phenology,Fl_herm,Fl_male,fruits,Buds,Epitrix_herb,Chew_herb,Mining_herb,Stem_dens,Trichomes,Leaf_Area,Leaf_Weight,Comments
KAN-4,KAN,6/27/23,16,5,fl,0,2,0,5,0,1,0,12,188,0.513,0.0036,
KAN-5,KAN,6/27/23,25,6,fl,1,0,0,7,0,0,0,4,192,0.846,0.0053,
KAN-6,KAN,6/27/23,22,6,fl,0,1,0,3,0,0.1,0,4,204,0.99,0.0079,
KAN-7,KAN,6/27/23,26,6,fl,0,1,0,12,1,0.5,0,12,152,1.792,0.0129,
KAN-8,KAN,6/27/23,15,6,fr,0,1,1,10,0,0,0,16,248,0.928,0.0077,
KAN-9,KAN,6/27/23,27,6,fl,0,3,0,21,0,3,0,12,308,1.341,0.0105,
KAN-10,KAN,6/27/23,17,4,fl,0,1,0,9,0,25,0,8,180,1.718,0.0131,
KAN-11,KAN,6/27/23,19,4,fl,0,2,0,3,0,20,0,16,208,0.813,0.0056,
KAN-12,KAN,6/27/23,34,7,fl,0,1,0,11,0,0,0,4,148,1.486,0.0107,
KAN-13,KAN,6/27/23,21,8,fl,3,0,0,9,0,1,0,4,184,1.12,0.0094,
KAN-14,KAN,6/27/23,25,6,fl,0,1,0,23,0,0,0,12,140,1.543,0.0104,
KAN-15,KAN,6/27/23,15,5,fl,0,2,0,13,0,1,0,8,172,0.867,0.0047,
KAN-16,KAN,6/27/23,18,6,fl,0,1,0,2,0,0,0,4,,,,
KAN-17,KAN,6/27/23,15,7,fl,0,1,0,13,0,13,0,20,140,1.024,0.0057,
KAN-18,KAN,6/27/23,20,6,fl,1,0,0,4,0,4,0,16,144,0.547,0.0024,
KAN-19,KAN,6/27/23,20,4,fl,0,2,0,6,0,0,0,24,156,1.05,0.0067,
KAN-20,KAN,6/27/23,16,8,fl,0,1,0,5,0,1,0,4,248,0.941,0.0087,
KAN-21,KAN,6/27/23,21,8,fl,2,0,0,8,4,8,0,28,196,0.835,0.0074,
KAN-22,KAN,6/27/23,16,8,fl,1,0,0,5,0.5,18,0,24,208,0.887,0.0077,
KAN-23,KAN,6/27/23,26,6,fl,1,0,0,7,0.5,10,0,20,164,1.049,0.0077,
KAN-24,KAN,6/27/23,30,7,fl,0,4,0,8,0,5,0,32,184,1.082,0.0089,
KAN-25,KAN,6/27/23,22,6,fl,0,1,0,5,1,1,0,28,176,1.323,0.0101,
KAN-26,KAN,6/27/23,26,6,fl,0,1,0,6,0,1,0,4,188,1.25,0.0097,
KAN-27,KAN,6/27/23,19,7,fl,1,1,0,6,0,0,0,12,144,1.066,0.0083,
KAN-28,KAN,6/27/23,17,7,fl,0,1,0,4,1,0.5,0,28,196,0.621,0.0041,
KAN-29,KAN,6/27/23,16,7,fl,1,0,0,7,0,5,0,24,158,0.776,0.005,
KAN-30,KAN,6/27/23,14,8,fl,0,1,0,4,0,3,0,20,164,0.979,0.0081,
TAL-1,TAL,7/6/23,41,6,fl,0,1,0,5,0,30,0,8,84,2.429,0.0122,
TAL-2,TAL,7/6/23,37,9,fl,1,0,0,12,0,13,0,12,176,1.136,0.0087,
TAL-3,TAL,7/6/23,19,20,fr,1,0,1,0,1,7,0,16,144,1.238,0.0068,
TAL-4,TAL,7/6/23,38,9,fl,1,0,0,5,0,13,0,12,92,1.159,0.0059,
TAL-5,TAL,7/6/23,40,9,fl,1,0,0,6,0,10,0,12,104,1.545,0.0092,
TAL-6,TAL,7/6/23,21,8,fl,2,0,0,6,0,19,0,8,192,0.733,0.0042,
TAL-7,TAL,7/6/23,33,6,fl,1,0,0,8,0,12,0,16,116,1.416,0.0064,
TAL-8,TAL,7/6/23,35,10,fl,1,0,0,6,0,9,0,12,156,0.881,0.0045,
TAL-9,TAL,7/6/23,31,6,fl,0,0,0,11,0,13,0,12,152,1.035,0.006,
TAL-10,TAL,7/6/23,39,16,fr,1,0,1,10,0,10,0,20,132,0.735,0.0036,
TAL-11,TAL,7/6/23,34,6,fl,2,1,0,1,0,16,0,4,124,0.912,0.006,
TAL-12,TAL,7/6/23,40,18,fl,1,0,0,10,0,9,0,8,172,0.838,0.005,
TAL-13,TAL,7/6/23,30,6,fl,1,0,0,2,0,20,0,20,156,0.915,0.0051,
TAL-14,TAL,7/6/23,38,8,fl,1,0,0,11,0,8,0,12,116,1.542,0.0084,
TAL-15,TAL,7/6/23,40,8,fl,1,0,0,7,0,14,0,16,128,1.23,0.0071,
TAL-16,TAL,7/6/23,40,8,fl,1,0,0,5,0,10,0,16,136,0.903,0.0049,
TAL-17,TAL,7/6/23,29,11,fl,0,1,0,2,0,13,0,16,108,1.075,0.0067,
TAL-19,TAL,7/6/23,24,6,fl,1,0,0,5,0,0,0,28,116,1.305,0.0069,
TAL-20,TAL,7/6/23,32,10,fl,1,0,0,5,0,15,0,12,104,1.302,0.0067,
TAL-21,TAL,7/6/23,60,22,fl,0,1,0,3,0,15,0,4,136,1.824,0.0112,
TAL-22,TAL,7/6/23,48,21,fl,1,0,0,7,0,13,0,4,164,1.545,0.0086,
TAL-23,TAL,7/6/23,49,19,fl,1,0,0,32,0,18,0,4,108,1.67,0.0094,
OAK-1,OAK,6/27/23,21,4,fl,0,0,0,7,0,40,0,4,96,0.869,0.0041,
OAK-2,OAK,6/27/23,56,5,fl,1,0,0,8,8,6,0,4,144,1.057,0.0061,
OAK-3,OAK,6/27/23,53,6,fl,0,0,0,4,7,15,0,4,200,0.881,0.005,
OAK-4,OAK,6/27/23,38,6,fl,1,0,0,4,1,0,0,8,168,0.923,0.0071,
OAK-5,OAK,6/27/23,51,5,fl,2,0,0,6,8,0,0,4,124,1.377,0.0074,
OAK-6,OAK,6/27/23,43,3,fl,2,0,0,3,0.1,5,0,4,144,0.991,0.0034,
OAK-7,OAK,6/27/23,59,5,fl,2,0,0,12,1,10,0,8,136,1.403,0.0066,
OAK-8,OAK,6/27/23,47,5,fl,0,0,0,2,2,3,0,4,168,0.722,0.0039,
OAK-9,OAK,6/27/23,42,5,fl,0,0,0,2,1,18,0,4,184,1.054,0.0053,
OAK-10,OAK,6/27/23,44,5,fl,0,0,0,2,0,0,0,4,128,1.522,0.0068,
OAK-11,OAK,6/27/23,39,4,fl,1,1,0,3,10,25,0,4,172,0.679,0.0035,
OAK-12,OAK,6/27/23,44,5,fl,1,1,0,3,6,0,0,8,140,0.764,0.0039,
OAK-13,OAK,6/27/23,49,5,fl,1,0,0,7,7,2,0,8,148,1.822,0.01,
OAK-14,OAK,6/27/23,51,8,fl,6,0,0,18,5,7,0,4,184,1.511,0.0128,
OAK-15,OAK,6/27/23,60,9,fl,6,1,0,26,13,16,0,4,144,1.913,0.0114,
OAK-16,OAK,6/27/23,42,9,fl,1,0,0,12,3,3,0,16,252,2.32,0.0182,
OAK-17,OAK,6/27/23,44,6,fl,3,0,0,5,4,10,0,4,124,1.225,0.0064,
OAK-18,OAK,6/27/23,48,8,fl,4,1,0,16,10,11,0,4,148,1.929,0.0115,
OAK-19,OAK,6/27/23,55,8,fl,2,0,0,9,5,3,0,8,152,1.932,0.0094,
OAK-20,OAK,6/27/23,59,7,fl,2,0,0,12,0.1,2,0,12,172,2.286,0.0136,
OAK-21,OAK,6/27/23,49,7,fl,2,0,0,8,0.5,20,0,4,196,1.161,0.007,
OAK-22,OAK,6/27/23,52,7,fl,3,0,0,12,5,4,0,4,136,1.354,0.0064,
OAK-23,OAK,6/27/23,62,5,fl,4,0,0,13,5,10,0,4,168,1.745,0.0096,
OAK-24,OAK,6/27/23,44,5,fl,3,0,0,8,10,4,0,12,168,1.475,0.0076,
OAK-25,OAK,6/27/23,53,6,fl,3,0,0,17,5,6,0,4,144,0.819,0.004,
OAK-26,OAK,6/27/23,59,7,fl,1,0,0,8,10,3,0,12,168,0.72,0.0043,
OAK-27,OAK,6/27/23,56,6,fl,3,0,0,4,8,6,0,4,208,1.435,0.0083,
OAK-28,OAK,6/27/23,46,7,fl,1,0,0,5,6,2,0,4,188,1.081,0.0063,
OAK-29,OAK,6/27/23,50,8,fl,2,0,0,6,0.5,0,0,12,168,1.435,0.0084,
OAK-30,OAK,6/27/23,53,8,fl,3,0,0,10,5,2,0,8,152,0.996,0.0049,
PLA-1,PLA,6/26/23,34,5,fl,0,2,0,8,25,3,0,20,144,0.525,0.0024,
PLA-2,PLA,6/26/23,26,7,fl,2,0,0,12,10,0,0,20,104,1.459,0.0077,
PLA-3,PLA,6/26/23,40,4,fl,2,0,0,6,5,0,0,16,124,1.143,0.0062,
PLA-4,PLA,6/26/23,39,6,fl,2,0,0,12,15,25,0,8,168,1.412,0.0084,
PLA-5,PLA,6/26/23,49,7,fl,1,2,0,16,9,0.5,0,12,152,1.482,0.01,
PLA-6,PLA,6/26/23,27,6,fl,0,1,0,11,7,0,0,24,112,1.099,0.0065,
PLA-7,PLA,6/26/23,29,8,fl,1,0,0,9,25,2,0,4,154,0.887,0.0059,
PLA-8,PLA,6/26/23,32,6,fl,0,3,0,8,2,5,0,12,188,1.148,0.0074,
PLA-9,PLA,6/26/23,42,5,fl,1,0,0,15,0,5,0,20,152,1.041,0.0057,
